test,mean0,mean1,mean2,mean3,mean4,mean5,mean6,mean7,mean8,mean9,mean10,mean11,mean12,mean13,mean14,mean15,mean16,mean17,mean18,mean19
67,76.18768116,72.01832117,66.28328261,66.28328261,68.56891304,65.14353488,68.10460465,63.73328226,62.63258369,68.11771296,71.92073394,66.49431481,70.31582716,69.00345122,69.73753049,64.72994595,69.73753049,68.39581287,69.26137748,68.39581287
68,71.96594203,70.89635036,62.61036957,62.61036957,64.76934783,65.4372093,68.41162791,64.88353226,61.6244721,68.71005556,70.48954128,62.7662037,66.37345679,70.10795122,70.85378049,63.2172973,70.85378049,66.55984795,69.28087417,66.55984795
69,74.66956522,69.62113139,64.96252174,64.96252174,67.2026087,65.66948837,68.65446512,63.35009677,61.57923176,66.81801389,72.10921101,65.04001852,68.77795062,70.11597561,70.86189024,63.77383784,70.86189024,68.15048538,68.14519205,68.15048538
70,75.15942029,70.92616788,65.38869565,65.38869565,67.64347826,65.70427907,68.69083721,65.34716935,63.08106867,68.00185648,72.10656881,65.58511111,69.35437037,70.63010976,71.3814939,66.64216216,71.3814939,69.17330409,68.45348344,69.17330409
71,76.15942029,71.65427007,66.25869565,66.25869565,68.54347826,65.12716279,68.08748837,63.01545968,60.74246352,67.51947222,70.87266055,64.35475926,68.05330864,69.14043902,69.87597561,65.22583784,69.87597561,65.77863158,68.84768212,65.77863158
72,71.56376812,70.98649635,62.26047826,62.26047826,64.4073913,66.01995349,69.02086047,64.6598629,62.61299142,68.03640278,72.57027523,64.57601852,68.28728395,70.735,71.4875,67.29027027,71.4875,68.55280117,70.00956291,68.55280117
73,75.29565217,69.56912409,65.50721739,65.50721739,67.76608696,66.05986047,69.0625814,63.37783871,60.73427039,68.90511574,70.14517431,65.37137037,69.12834568,71.01814634,71.77365854,66.05232432,71.77365854,69.39734503,66.34113907,69.39734503
74,75.07391304,71.00105839,65.31430435,65.31430435,67.56652174,64.86725581,67.81576744,64.28291935,62.49472532,66.6124213,72.27919266,65.41057407,69.16980247,67.70693902,68.42722561,67.67556757,68.42722561,65.65676608,69.29427815,65.65676608
75,75.84710145,71.81861314,65.98697826,65.98697826,68.2623913,66.16269767,69.17009302,63.62716935,61.70034764,67.99764352,71.78994495,63.43911111,67.08503704,70.78429268,71.53731707,62.47524324,71.53731707,68.09194737,68.47846358,68.09194737
76,71.78913043,70.44631387,62.45654348,62.45654348,64.61021739,66.12381395,69.12944186,64.90260484,61.8196824,67.55149074,70.92286239,65.27631481,69.02782716,71.88134146,72.64603659,63.93913514,72.64603659,69.47184795,69.08956291,69.47184795
77,75.54855072,70.09058394,65.72723913,65.72723913,67.99369565,64.32339535,67.24718605,63.67016935,62.5666824,67.92770833,72.87588991,66.54103704,70.36523457,68.28526829,69.01170732,66.96918919,69.01170732,66.28205848,67.35374834,66.28205848
78,74.62318841,71.14182482,64.92217391,64.92217391,67.16086957,65.94627907,68.94383721,64.07901613,61.25079399,68.99822222,69.5506789,62.91925926,66.53530864,70.39740244,71.14631098,64.85243243,71.14631098,68.21647368,68.85438411,68.21647368
79,76.02028986,71.8019708,66.13765217,66.13765217,68.41826087,66.95572093,69.99916279,64.56172581,62.7818412,66.72869907,72.70194495,65.17212963,68.91765432,70.04891463,70.79411585,66.49708108,70.79411585,68.2324386,70.59872848,68.2324386
80,71.9057971,69.84025547,62.55804348,62.55804348,64.71521739,63.26688372,66.14265116,63.5553871,60.53799142,67.7604537,71.6666422,65.17105556,68.91651852,70.05808537,70.80338415,65.63135135,70.80338415,67.11755556,66.5202649,67.11755556
81,75.18188406,70.55656934,65.40823913,65.40823913,67.66369565,66.45227907,69.47283721,65.08639516,62.23788841,67.65934259,71.03075229,64.5105,68.218,69.69641463,70.43786585,69.15135135,70.43786585,67.87163158,68.75019868,67.87163158
82,74.84565217,70.91576642,65.11571739,65.11571739,67.36108696,67.01404651,70.06013953,63.23878226,61.78548498,67.81227315,72.77988991,64.54487037,68.25434568,70.59056098,71.34152439,63.21610811,71.34152439,67.87961404,68.6106755,67.87961404
83,75.5326087,72.65974453,65.71336957,65.71336957,67.97934783,63.48637209,66.37211628,65.10858871,61.87845923,69.19328241,69.81489908,65.36331481,69.11982716,70.69946341,71.45158537,63.46940541,71.45158537,68.37505848,69.70858278,68.37505848
84,72.33478261,68.97693431,62.93126087,62.93126087,65.10130435,65.89153488,68.88660465,62.92772581,62.42882403,66.58250926,72.28491743,65.80744444,69.58948148,68.74437805,69.47570122,65.5932973,69.47570122,66.9877076,66.74996026,66.9877076
85,75.53550725,70.50525547,65.7158913,65.7158913,67.98195652,67.15218605,70.20455814,64.56276613,61.34269957,67.81943519,71.41122936,62.92785185,66.54439506,70.20309756,70.94993902,65.79783784,70.94993902,68.17922222,68.94394702,68.17922222
86,74.60724638,70.63978102,64.90830435,64.90830435,67.14652174,64.15865116,67.07495349,63.21658871,62.82423176,67.66776852,71.57592661,65.45192593,69.21353086,71.85153659,72.61591463,66.11772973,72.61591463,68.36654386,69.68908609,68.36654386
87,75.39565217,73.24083942,65.59421739,65.59421739,67.85608696,65.57074419,68.55123256,64.62830645,60.6192103,67.795,72.75699083,66.42664815,70.2442716,67.8347561,68.55640244,65.92627027,68.55640244,66.90522222,67.63157616,66.90522222
88,73.0115942,68.79178832,63.52008696,63.52008696,65.71043478,66.35660465,69.37281395,63.95140323,62.18587983,69.11913426,69.85805505,62.86716667,66.48022222,70.51089024,71.2610061,68.46756757,71.2610061,68.17390058,68.27070199,68.17390058
89,74.83985507,70.76043796,65.11067391,65.11067391,67.35586957,64.93530233,67.88690698,64.2863871,61.70640343,66.59219907,72.05152294,65.34612963,69.10165432,70.63354878,71.38496951,64.13059459,71.38496951,69.01152632,69.6226755,69.01152632
90,75.51014493,70.80759124,65.69382609,65.69382609,67.95913043,65.60451163,68.58653488,64.07520161,61.88772103,68.01575926,71.44822018,64.86548148,68.59338272,69.4992439,70.23859756,63.62281081,70.23859756,66.00639766,69.58124503,66.00639766
91,74.67681159,72.90591241,64.96882609,64.96882609,67.20913043,65.75493023,68.7437907,63.77385484,62.41742489,67.55359722,71.1293945,64.86011111,68.5877037,69.98357317,70.72807927,64.65145946,70.72807927,68.30853801,66.12423841,68.30853801
92,73.35289855,68.5809854,63.81702174,63.81702174,66.0176087,65.63776744,68.62130233,64.87798387,61.23440773,67.88010185,73.09387156,64.5207037,68.22879012,70.27531707,71.02292683,66.19383784,71.02292683,69.47397661,69.1584106,69.47397661
93,74.63695652,70.61481752,64.93415217,64.93415217,67.17326087,65.16809302,68.13027907,63.3806129,62.97669528,68.96325463,69.88051376,65.23764815,68.98693827,70.6507439,71.40234756,65.53859459,71.40234756,65.48807018,69.23761589,65.48807018
94,75.63550725,71.09189781,65.8028913,65.8028913,68.07195652,65.70427907,68.69083721,65.34994355,60.61814163,66.76872222,72.24352294,65.89444444,69.68148148,68.98510976,69.7189939,66.82054054,69.7189939,68.02489474,68.73313907,68.02489474
95,74.45942029,72.97525547,64.77969565,64.77969565,67.01347826,66.35967442,69.37602326,62.95650806,62.11606009,67.99680093,71.1399633,62.96974074,66.58869136,70.55559756,71.30618902,66.12367568,71.30618902,69.74484795,67.3738543,69.74484795
96,73.27826087,68.53660584,63.75208696,63.75208696,65.95043478,64.54953488,67.48360465,64.73441935,61.66401288,67.46343981,71.59838532,65.37835185,69.1357284,71.4910122,72.25155488,67.26648649,72.25155488,66.14476023,69.15109934,66.14476023
97,74.90362319,70.52605839,65.16615217,65.16615217,67.41326087,66.43027907,69.44983721,63.27137903,61.75484979,67.87041204,73.02737615,66.48464815,70.30560494,67.74476829,68.46545732,62.98064865,68.46545732,67.83012281,70.22524503,67.83012281
98,75.3826087,71.45664234,65.58286957,65.58286957,67.84434783,66.11665116,69.12195349,64.35747581,62.55991416,68.89668981,69.83823853,62.90368519,66.51883951,70.30454878,71.05246951,63.65135135,71.05246951,68.74704094,66.39475497,68.74704094
99,73.86376812,72.48708029,64.26147826,64.26147826,66.4773913,64.03688372,66.94765116,63.60220161,61.22906438,66.7367037,71.91456881,65.21455556,68.96251852,71.69907317,72.46182927,67.30097297,72.46182927,66.99143275,68.6234702,66.99143275
100,74.19855072,68.65171533,64.55273913,64.55273913,66.77869565,66.1192093,69.12462791,64.92757258,63.0169485,68.00269907,71.40726606,64.82305556,68.54851852,68.8039878,69.53594512,65.164,69.53594512,67.83916959,69.01340397,67.83916959
101,74.72826087,70.65156934,65.01358696,65.01358696,67.25543478,67.01148837,70.05746512,63.66358065,60.57788841,67.68419907,71.49137615,65.04861111,68.78703704,70.02942683,70.77442073,66.13081081,70.77442073,67.92378363,69.27356291,67.92378363
102,76.43188406,71.80613139,66.49573913,66.49573913,68.78869565,63.19730233,66.06990698,64.10953226,62.16094421,67.67493056,72.8186422,64.52553704,68.23390123,70.19335366,70.94009146,65.90724324,70.94009146,68.36069006,67.51154967,68.36069006
103,72.41594203,72.37058394,63.00186957,63.00186957,65.17434783,66.52186047,69.5455814,64.50277419,61.6351588,69.14188426,70.21299083,65.31874074,69.07269136,70.73442683,71.48692073,68.49610811,71.48692073,67.0904152,68.8074702,67.0904152
104,74.63405797,68.24883212,64.93163043,64.93163043,67.17065217,67.00995349,70.05586047,63.59110484,61.93118026,66.47760648,71.70891743,65.75964815,69.53893827,69.19718293,69.93332317,63.63113514,69.93332317,68.26117544,70.21184106,68.26117544
105,74.37753623,71.08565693,64.70845652,64.70845652,66.93978261,63.43623256,66.31969767,65.07633871,62.3483176,68.03471759,71.45482569,62.61046296,66.20876543,70.79117073,71.54426829,63.11027027,71.54426829,68.30747368,66.89740397,68.30747368
106,76.74492754,71.45594891,66.76808696,66.76808696,69.07043478,66.0567907,69.05937209,63.26305645,61.52116738,67.69093981,71.24036697,65.47072222,69.23340741,70.92758537,71.68213415,65.95481081,71.68213415,66.83338012,68.37366887,66.83338012
107,72.45942029,72.06062044,63.03969565,63.03969565,65.21347826,67.12097674,70.17193023,65.05310484,62.88621459,67.75034259,73.17005505,66.43631481,70.25449383,67.70808537,68.42838415,65.84897297,68.42838415,68.38836257,68.87388079,68.38836257
108,74.4673913,68.42565693,64.78663043,64.78663043,67.02065217,64.0292093,66.93962791,62.97454032,60.65269528,69.17516667,69.92983486,63.1662963,66.79654321,70.71321951,71.4654878,65.11405405,71.4654878,68.84602339,70.03027815,68.84602339
109,74.63043478,71.1820438,64.92847826,64.92847826,67.1673913,65.96418605,68.96255814,64.51109677,61.93866094,66.30950926,71.89387156,65.04162963,68.77965432,71.88821951,72.6529878,66.53751351,72.6529878,65.80257895,66.00664901,65.80257895
110,76.89275362,71.29091241,66.89669565,66.89669565,69.20347826,66.05269767,69.05509302,63.23566129,61.48946352,68.17121759,71.47244037,64.77472222,68.49740741,68.19126829,68.91670732,69.10616216,68.91670732,68.24148538,69.20410596,68.24148538
111,72.0326087,72.36572993,62.66836957,62.66836957,64.82934783,64.80893023,67.7547907,64.53294355,62.20974678,67.59319907,71.48168807,65.5067037,69.27145679,70.42720732,71.17643293,63.32789189,71.17643293,69.79327485,69.37592053,69.79327485
112,74.33478261,68.2529927,64.67126087,64.67126087,66.90130435,65.64237209,68.62611628,64.06098387,62.25284979,67.74275926,72.75787156,64.1957963,67.88520988,70.2139878,70.96094512,63.62518919,70.96094512,65.29595906,68.11899338,65.29595906
113,75.38985507,71.2250365,65.58917391,65.58917391,67.85086957,65.71706977,68.7042093,64.27216935,61.35481116,69.29776389,70.33981651,65.3182037,69.07212346,69.87696341,70.62033537,64.94518919,70.62033537,68.17017544,68.49856954,68.17017544
